st,stateabbrv,statename,id,year,le_agg_q1_F,le_agg_q2_F,le_agg_q3_F,le_agg_q4_F,le_agg_q1_M,le_agg_q2_M,le_agg_q3_M,le_agg_q4_M,count_q1_F,count_q2_F,count_q3_F,count_q4_F,count_q1_M,count_q2_M,count_q3_M,count_q4_M
1,AL,Alabama,1,2001,80.97743,83.79784,85.22591,86.63757,73.85774,79.58082,83.17659,84.54559,194089,158475,147619,120205,165515,160929,143569,113529
1,AL,Alabama,1,2002,81.55089,85.19556,86.9556,85.93871,73.57462,77.9884,83.27456,84.38531,204031,162615,148026,116868,172638,163867,145058,110186
1,AL,Alabama,1,2003,80.6691,84.45503,84.41888,87.63429,75.40674,79.65546,83.42928,83.6078,207635,163953,149117,119178,174545,164215,145901,112692
1,AL,Alabama,1,2004,82.7871,83.22166,85.77566,87.28502,73.67553,79.67188,82.53316,86.85215,209570,166413,149730,122762,175617,165009,147526,115676
1,AL,Alabama,1,2005,81.995,84.92139,86.13605,87.65756,74.46228,79.65469,82.11211,85.02277,209463,167581,151420,126151,174581,166114,148807,119517
1,AL,Alabama,1,2006,83.28588,85.27169,85.88442,86.51218,74.94566,80.80642,82.04633,84.20623,212145,169968,152990,127068,176862,167986,150107,120803
1,AL,Alabama,1,2007,83.27286,85.84858,87.09906,85.72547,74.35318,80.7681,83.93549,84.68047,214855,171469,154516,129359,178491,168898,152387,123052
1,AL,Alabama,1,2008,82.83587,85.33945,85.894,88.87307,74.64288,81.05785,84.00677,84.94523,216883,173564,156158,131361,179441,170122,154409,125231
1,AL,Alabama,1,2009,81.35422,84.87272,87.53564,87.77538,73.70947,79.8577,83.80059,84.34903,223153,177569,160521,134806,185501,173401,158312,128004
1,AL,Alabama,1,2010,83.31232,85.19936,87.2737,88.3681,74.05884,80.74503,82.5268,84.51853,217680,176894,160147,135772,181890,171624,158121,129129
1,AL,Alabama,1,2011,83.03326,86.13215,87.80878,86.60144,75.23126,79.52924,83.21108,85.06775,214768,176507,159259,135632,179891,169612,157148,128565
1,AL,Alabama,1,2012,82.63778,84.94592,88.08359,88.06422,74.7432,80.15469,83.81625,85.92519,212421,176200,159113,136347,177669,168978,158118,129370
1,AL,Alabama,1,2013,82.26195,85.24842,88.15127,87.0226,74.63306,79.2441,82.10179,86.20051,211866,177250,158010,132893,182139,170724,156551,125406
1,AL,Alabama,1,2014,82.55949,85.62687,87.12855,88.12717,75.29585,81.1952,83.02232,87.4075,202399,173981,151057,128062,173448,165816,151580,119775
2,AK,Alaska,2,2001,86.04274,82.33748,84.41045,86.75902,78.72337,82.59918,80.18698,86.09869,16152,20806,24924,31214,19190,21777,27596,31992
2,AK,Alaska,2,2002,86.74393,80.76041,89.32249,88.56802,78.82304,78.46381,84.21545,85.55241,17259,21753,25749,31301,20386,22232,28764,31934
2,AK,Alaska,2,2003,84.31139,85.66699,85.27372,82.00671,77.16081,83.36965,81.17433,79.65434,17788,22683,26478,31702,20595,23239,29369,32324
2,AK,Alaska,2,2004,83.9938,88.17509,86.50045,91.23225,77.35509,81.83656,84.44209,86.92503,18455,23316,27202,31964,21286,23979,30251,32431
2,AK,Alaska,2,2005,84.21471,85.77379,83.86731,87.49517,76.62862,80.65938,86.70511,85.35341,18692,23516,27773,31844,21314,24375,30660,32105
2,AK,Alaska,2,2006,85.2233,89.26978,86.74304,89.73344,77.4203,80.49155,82.83405,89.73946,19048,24100,28141,31617,21820,24645,31001,31911
2,AK,Alaska,2,2007,85.30624,87.44475,87.9066,89.79039,77.94804,85.218,86.96073,85.34863,18954,24262,28392,31395,21787,24806,31211,31634
2,AK,Alaska,2,2008,84.32677,88.90155,88.51659,88.78748,78.38282,84.07604,86.51926,85.80824,18804,24285,28767,31979,21684,24710,31454,32168
2,AK,Alaska,2,2009,84.12466,87.66991,87.69363,90.06284,77.7425,83.33327,82.68409,85.89024,19172,24246,29357,33647,22054,24622,32250,33830
2,AK,Alaska,2,2010,87.26012,86.41103,85.19061,88.46195,79.01091,81.6778,84.94601,88.17743,17073,23482,29179,36562,20184,23593,31895,36868
2,AK,Alaska,2,2011,81.12344,83.28828,88.4509,91.87862,75.36761,78.23021,84.4163,89.56757,18387,23348,28703,35937,21569,23403,31245,36091
2,AK,Alaska,2,2012,80.41601,83.98333,83.24308,90.90743,76.20384,80.66872,84.16167,85.61292,17621,24420,28815,36612,20993,24609,31252,36515
2,AK,Alaska,2,2013,83.26976,87.84058,87.60659,89.93014,75.55512,81.48282,80.39754,87.97974,19098,24208,28756,35555,23933,24401,30898,35276
2,AK,Alaska,2,2014,84.13255,84.52969,88.87199,90.18625,78.04205,79.92364,85.38614,89.37223,19161,22601,27130,32608,23307,23066,29472,32797
4,AZ,Arizona,4,2001,83.03323,84.08954,84.67398,85.6129,77.83455,79.67635,83.8205,86.45947,170293,173765,160263,158114,173229,161495,152301,152694
4,AZ,Arizona,4,2002,83.23727,84.46043,85.31136,86.78596,78.5664,80.71193,82.45129,83.38196,178174,182024,167107,164199,179688,168356,159677,158767
4,AZ,Arizona,4,2003,81.85979,85.43214,88.44756,88.55107,78.72897,81.69713,82.21796,82.73546,184789,189226,172532,169568,185488,175132,164674,164077
